Mn=525 den=2 N=250 errco=8780 C250=2597607/250000
183 k=218 r=-2805353/5000000 delta=13317/1000000000 v=-124743/200000
184 k=218 r=-1017203/5000000 delta=13317/1000000000 v=686769/1000000
185 k=218 r=761267/5000000 delta=6593/500000000 v=820213/1000000
186 k=218 r=5060247/10000000 delta=13267/1000000000 v=-437937/1000000
187 k=219 r=-891113/1250000 delta=6587/500000000 v=-191647/200000
188 k=219 r=-1814463/5000000 delta=13129/1000000000 v=3717/31250
189 k=219 r=-73727/5000000 delta=6587/500000000 v=998261/1000000
190 k=219 r=3315577/10000000 delta=13179/1000000000 v=48427/200000
191 k=219 r=422531/625000 delta=6587/500000000 v=-452929/500000
192 k=220 r=-1380149/2500000 delta=6661/500000000 v=-297571/500000
193 k=220 r=-527877/2500000 delta=13131/1000000000 v=166007/250000
194 k=220 r=159999/1250000 delta=13131/1000000000 v=108971/125000
195 k=220 r=1163509/2500000 delta=13231/1000000000 v=-17921/62500
196 k=221 r=-7697143/10000000 delta=3297/250000000 v=-998033/1000000
197 k=221 r=-4357421/10000000 delta=6619/500000000 v=-171323/1000000
198 k=221 r=-1034631/10000000 delta=2653/200000000 v=457789/500000
199 k=221 r=1135713/5000000 delta=1661/125000000 v=307437/500000
200 k=221 r=5560879/10000000 delta=6619/500000000 v=-608013/1000000
201 k=222 r=-1718493/2500000 delta=2629/200000000 v=-184829/200000
202 k=222 r=-9043/25000 delta=2639/200000000 v=123599/1000000
203 k=222 r=-376441/10000000 delta=1651/125000000 v=197737/200000
204 k=222 r=712093/2500000 delta=2649/200000000 v=209093/500000
205 k=222 r=3028717/5000000 delta=1651/125000000 v=-188179/250000
206 k=223 r=-1291417/2000000 delta=13253/1000000000 v=-423957/500000
207 k=223 r=-3279129/10000000 delta=13153/1000000000 v=128127/500000
208 k=223 r=-116463/10000000 delta=13303/1000000000 v=199783/200000
209 k=223 r=3031043/10000000 delta=13203/1000000000 v=350757/1000000
210 k=223 r=6163521/10000000 delta=13153/1000000000 v=-389983/500000
211 k=224 r=-6426861/10000000 delta=329/25000000 v=-841443/1000000
212 k=224 r=-664809/2000000 delta=1331/100000000 v=238847/1000000
213 k=224 r=-235799/10000000 delta=13293/1000000000 v=199111/200000
214 k=224 r=2838011/10000000 delta=1321/100000000 v=421947/1000000
215 k=224 r=737181/1250000 delta=13243/1000000000 v=-709073/1000000
216 k=225 r=-1691313/2500000 delta=13317/1000000000 v=-906663/1000000
217 k=225 r=-3734099/10000000 delta=13267/1000000000 v=1927/25000
218 k=225 r=-716859/10000000 delta=3309/250000000 v=95917/100000
219 k=225 r=2286601/10000000 delta=13267/1000000000 v=152519/250000
220 k=225 r=659543/1250000 delta=6643/500000000 v=-256957/500000
221 k=226 r=-3727697/5000000 delta=13179/1000000000 v=-987317/1000000
